Rook telnos
2121212
2121213
2121214
2121217
2121231
2121232
2121236
2121239
2121252
2121254
2121256
2121258
2121250
2121282
2121285
2121287
2121289
2121280
2121202
2121205
2121208
2121312
2121313
2121314
2121317
2121321
2121323
2121325
2121328
2121320
2121363
2121364
2121365
2121369
2121393
2121396
2121397
2121398
2121412
2121413
2121414
2121417
2121452
2121454
2121456
2121458
2121450
2121463
2121464
2121465
2121469
2121471
2121474
2121478
2121479
2121712
2121713
2121714
2121717
2121741
2121745
2121746
2121747
2121782
2121785
2121787
2121789
2121780
2121793
2121796
2121797
2121798
2123121
2123123
2123125
2123128
2123120
2123131
2123132
2123136
2123139
2123141
2123145
2123146
2123147
2123171
2123174
2123178
2123179
2123212
2123213
2123214
2123217
2123231
2123232
2123236
2123239
2123252
2123254
2123256
2123258
2123250
2123282
2123285
2123287
2123289
2123280
2123202
2123205
2123208
2123631
2123632
2123636
2123639
2123641
2123645
2123646
2123647
2123652
2123654
2123656
2123658
2123650
2123693
2123696
2123697
2123698
2123931
2123932
2123936
2123939
2123963
2123964
2123965
2123969
2123971
2123974
2123978
2123979
2123982
2123985
2123987
2123989
2123980
2125212
2125213
2125214
2125217
2125231
2125232
2125236
2125239
2125252
2125254
2125256
2125258
2125250
2125282
2125285
2125287
2125289
2125280
2125202
2125205
2125208
2125412
2125413
2125414
2125417
2125452
2125454
2125456
2125458
2125450
2125463
2125464
2125465
2125469
2125471
2125474
2125478
2125479
2125631
2125632
2125636
2125639
2125641
2125645
2125646
2125647
2125652
2125654
2125656
2125658
2125650
2125693
2125696
2125697
2125698
2125821
2125823
2125825
2125828
2125820
2125852
2125854
2125856
2125858
2125850
2125871
2125874
2125878
2125879
2125893
2125896
2125897
2125898
2125802
2125805
2125808
2125021
2125023
2125025
2125028
2125020
2125052
2125054
2125056
2125058
2125050
2125082
2125085
2125087
2125089
2125080
2128212
2128213
2128214
2128217
2128231
2128232
2128236
2128239
2128252
2128254
2128256
2128258
2128250
2128282
2128285
2128287
2128289
2128280
2128202
2128205
2128208
2128521
2128523
2128525
2128528
2128520
2128541
2128545
2128546
2128547
2128563
2128564
2128565
2128569
2128582
2128585
2128587
2128589
2128580
2128502
2128505
2128508
2128712
2128713
2128714
2128717
2128741
2128745
2128746
2128747
2128782
2128785
2128787
2128789
2128780
2128793
2128796
2128797
2128798
2128931
2128932
2128936
2128939
2128963
2128964
2128965
2128969
2128971
2128974
2128978
2128979
2128982
2128985
2128987
2128989
2128980
2128021
2128023
2128025
2128028
2128020
2128052
2128054
2128056
2128058
2128050
2128082
2128085
2128087
2128089
2128080
2120212
2120213
